Code,Score,Author,Title,Genre,Nation,Director,Actor
184318,9,khon****,블랙 위도우,"['액션', '모험', 'SF']",['미국'],['케이트 쇼트랜드'],"['스칼릿 조핸슨', '플로렌스 퓨', '레이첼 와이즈']"
184318,10,mapo****,블랙 위도우,"['액션', '모험', 'SF']",['미국'],['케이트 쇼트랜드'],"['스칼릿 조핸슨', '플로렌스 퓨', '레이첼 와이즈']"
184318,9,jwh2****,블랙 위도우,"['액션', '모험', 'SF']",['미국'],['케이트 쇼트랜드'],"['스칼릿 조핸슨', '플로렌스 퓨', '레이첼 와이즈']"
184318,10,lyjs****,블랙 위도우,"['액션', '모험', 'SF']",['미국'],['케이트 쇼트랜드'],"['스칼릿 조핸슨', '플로렌스 퓨', '레이첼 와이즈']"
184318,10,ljeb****,블랙 위도우,"['액션', '모험', 'SF']",['미국'],['케이트 쇼트랜드'],"['스칼릿 조핸슨', '플로렌스 퓨', '레이첼 와이즈']"
184318,10,tnru****,블랙 위도우,"['액션', '모험', 'SF']",['미국'],['케이트 쇼트랜드'],"['스칼릿 조핸슨', '플로렌스 퓨', '레이첼 와이즈']"
184318,8,lsw5****,블랙 위도우,"['액션', '모험', 'SF']",['미국'],['케이트 쇼트랜드'],"['스칼릿 조핸슨', '플로렌스 퓨', '레이첼 와이즈']"
184318,10,lhg0****,블랙 위도우,"['액션', '모험', 'SF']",['미국'],['케이트 쇼트랜드'],"['스칼릿 조핸슨', '플로렌스 퓨', '레이첼 와이즈']"
184318,10,woma****,블랙 위도우,"['액션', '모험', 'SF']",['미국'],['케이트 쇼트랜드'],"['스칼릿 조핸슨', '플로렌스 퓨', '레이첼 와이즈']"
184318,8,wook****,블랙 위도우,"['액션', '모험', 'SF']",['미국'],['케이트 쇼트랜드'],"['스칼릿 조핸슨', '플로렌스 퓨', '레이첼 와이즈']"
184318,10,88bn****,블랙 위도우,"['액션', '모험', 'SF']",['미국'],['케이트 쇼트랜드'],"['스칼릿 조핸슨', '플로렌스 퓨', '레이첼 와이즈']"
184318,10,hjl9****,블랙 위도우,"['액션', '모험', 'SF']",['미국'],['케이트 쇼트랜드'],"['스칼릿 조핸슨', '플로렌스 퓨', '레이첼 와이즈']"
184318,10,gjwl****,블랙 위도우,"['액션', '모험', 'SF']",['미국'],['케이트 쇼트랜드'],"['스칼릿 조핸슨', '플로렌스 퓨', '레이첼 와이즈']"
184318,10,ahin****,블랙 위도우,"['액션', '모험', 'SF']",['미국'],['케이트 쇼트랜드'],"['스칼릿 조핸슨', '플로렌스 퓨', '레이첼 와이즈']"
184318,10,sooh****,블랙 위도우,"['액션', '모험', 'SF']",['미국'],['케이트 쇼트랜드'],"['스칼릿 조핸슨', '플로렌스 퓨', '레이첼 와이즈']"
184318,10,seoi****,블랙 위도우,"['액션', '모험', 'SF']",['미국'],['케이트 쇼트랜드'],"['스칼릿 조핸슨', '플로렌스 퓨', '레이첼 와이즈']"
184318,8,royt****,블랙 위도우,"['액션', '모험', 'SF']",['미국'],['케이트 쇼트랜드'],"['스칼릿 조핸슨', '플로렌스 퓨', '레이첼 와이즈']"
184318,10,lees****,블랙 위도우,"['액션', '모험', 'SF']",['미국'],['케이트 쇼트랜드'],"['스칼릿 조핸슨', '플로렌스 퓨', '레이첼 와이즈']"
184318,10,flam****,블랙 위도우,"['액션', '모험', 'SF']",['미국'],['케이트 쇼트랜드'],"['스칼릿 조핸슨', '플로렌스 퓨', '레이첼 와이즈']"
184318,2,sodl****,블랙 위도우,"['액션', '모험', 'SF']",['미국'],['케이트 쇼트랜드'],"['스칼릿 조핸슨', '플로렌스 퓨', '레이첼 와이즈']"
184318,10,gywl****,블랙 위도우,"['액션', '모험', 'SF']",['미국'],['케이트 쇼트랜드'],"['스칼릿 조핸슨', '플로렌스 퓨', '레이첼 와이즈']"
184318,10,96so****,블랙 위도우,"['액션', '모험', 'SF']",['미국'],['케이트 쇼트랜드'],"['스칼릿 조핸슨', '플로렌스 퓨', '레이첼 와이즈']"
184318,6,bumr****,블랙 위도우,"['액션', '모험', 'SF']",['미국'],['케이트 쇼트랜드'],"['스칼릿 조핸슨', '플로렌스 퓨', '레이첼 와이즈']"
184318,10,seun****,블랙 위도우,"['액션', '모험', 'SF']",['미국'],['케이트 쇼트랜드'],"['스칼릿 조핸슨', '플로렌스 퓨', '레이첼 와이즈']"
184318,10,fant****,블랙 위도우,"['액션', '모험', 'SF']",['미국'],['케이트 쇼트랜드'],"['스칼릿 조핸슨', '플로렌스 퓨', '레이첼 와이즈']"
184318,2,nj31****,블랙 위도우,"['액션', '모험', 'SF']",['미국'],['케이트 쇼트랜드'],"['스칼릿 조핸슨', '플로렌스 퓨', '레이첼 와이즈']"
184318,10,idca****,블랙 위도우,"['액션', '모험', 'SF']",['미국'],['케이트 쇼트랜드'],"['스칼릿 조핸슨', '플로렌스 퓨', '레이첼 와이즈']"
184318,10,dngk****,블랙 위도우,"['액션', '모험', 'SF']",['미국'],['케이트 쇼트랜드'],"['스칼릿 조핸슨', '플로렌스 퓨', '레이첼 와이즈']"
184318,10,yj97****,블랙 위도우,"['액션', '모험', 'SF']",['미국'],['케이트 쇼트랜드'],"['스칼릿 조핸슨', '플로렌스 퓨', '레이첼 와이즈']"
