Title,Code,Author,Score
너의 췌장을 먹고 싶어,159830,rlaa****,0
플로리다 프로젝트,164719,june****,9
리틀 포레스트,154449,crys****,0
그것만이 내 세상,158180,zero****,0
더퍼지: 심판의날,141260,hole****,0
"아이, 토냐",154293,acts****,8
맘&대드,167058,dffi****,8
셰이프 오브 워터: 사랑의 모양,158626,ann0****,0
겨울왕국의 무민,163850,kw66****,0
신과함께-죄와 벌,85579,lame****,0
패딩턴 2,146489,kw66****,0
강철비,155665,inn2****,0
시간 여행자의 아내,68086,wlgu****,0
골든슬럼버,158112,crys****,0
너의 이름은.,150198,junb****,8
월요일이 사라졌다,118955,1727****,7
기억의 밤,160399,hawk****,0
리플리,28792,libe****,0
흥부: 글로 세상을 바꾼 자,159805,s_jg****,0
블랙 팬서,137326,slas****,2
"아이, 토냐",154293,rmrq****,0
셰이프 오브 워터: 사랑의 모양,158626,hofe****,0
코코,151728,s_jg****,0
셰이프 오브 워터: 사랑의 모양,158626,midn****,0
블랙 팬서,137326,skap****,0
월요일이 사라졌다,118955,s009****,7
잠입자,29237,sk31****,8
로그 원: 스타워즈 스토리,136868,juke****,9
르누아르,95848,sch1****,6
레드 스패로,151744,song****,8
언어의 정원,106335,kore****,10
돌아와요 부산항애(愛),102953,kara****,1
코코,151728,desi****,8
중2라도 괜찮아,152184,kara****,1
블랙 팬서,137326,sch0****,0
수상한 그녀,107924,sehu****,9
그것,154668,song****,4
다른 길이 있다,134976,kara****,6
어벤져스: 인피니티 워,136315,kssi****,10
진주 귀걸이를 한 소녀,37937,yhso****,0
반드시 잡는다,155411,only****,0
"흐린하늘에웃다 외전 결별, 야마이누의 맹세",169282,kthm****,10
댄싱 베토벤,164951,5hap****,8
리치 리치,17262,item****,10
트래쉬 파이어,148026,wsk0****,10
Mr. 아이돌,80193,caes****,5
기억을 만나다,167655,sym4****,0
셰이프 오브 워터: 사랑의 모양,158626,5hap****,9
"아, 황야",156059,writ****,10
블랙 팬서,137326,sch0****,0
"아, 황야 2",163741,writ****,8
그것만이 내 세상,158180,leej****,0
실화: 숨겨진 비밀,163632,hyun****,5
골든슬럼버,158112,2015****,0
월요일이 사라졌다,118955,itoo****,6
다키스트 아워,150687,dals****,7
그것만이 내 세상,158180,iido****,9
나미야 잡화점의 기적,159862,jkj2****,0
초능력 소녀의 분노,11143,itae****,6
골든슬럼버,158112,lime****,10
월요일이 사라졌다,118955,prev****,8
디스트릭트 9,64129,kaze****,0
블랙 팬서,137326,wate****,8
블랙 팬서,137326,gaja****,7
연애의 온도,96959,ktw8****,0
어톤먼트,68035,suec****,0
그것만이 내 세상,158180,cine****,0
레이드 : 첫번째 습격,87792,deja****,0
블랙 팬서,137326,brai****,9
폴리스 스토리,10746,pjwo****,10
월요일이 사라졌다,118955,oakt****,0
23 아이덴티티,144927,shys****,7
더 시크릿 하우스,152644,ds2s****,6
블랙 팬서,137326,sysy****,0
너의 췌장을 먹고 싶어,159830,wdlj****,0
골든슬럼버,158112,momo****,2
7년의 밤,85578,aoda****,0
셰이프 오브 워터: 사랑의 모양,158626,kamc****,8
럭키,140695,rodv****,10
블랙 팬서,137326,slp_****,7
예스 평창!,172525,nowm****,0
더 포스트,159848,dano****,9
"지금, 만나러 갑니다",39636,babo****,10
7년의 밤,85578,vkdh****,6
거짓말,130344,luci****,0
"불량소녀, 너를 응원해!",138877,rose****,10
도그마,27905,xime****,0
허트 로커,68945,kang****,0
지금 만나러 갑니다,168298,hoho****,10
셰이프 오브 워터: 사랑의 모양,158626,styl****,9
사운드 오브 뮤직,10102,idmo****,7
블랙 팬서,137326,idmo****,6
쿵푸 팬더,62262,myji****,0
창수,81315,myji****,0
박물관이 살아있다 2,50621,myji****,0
방과후 옥상,24944,myji****,0
연애의 목적,39863,myji****,0
지금 만나러 갑니다,168298,hoho****,10
블랙 팬서,137326,zxc1****,6
지금 만나러 갑니다,168298,hoho****,10
월요일이 사라졌다,118955,stov****,10
사라진 밤,165026,choi****,0
셰이프 오브 워터: 사랑의 모양,158626,dak6****,0
보안관,146524,gwno****,6
명탐정 코난: 침묵의 15분,85094,lkbh****,8
7광구,48246,lkbh****,5
흥부: 글로 세상을 바꾼 자,159805,aaa7****,5
찰리와 초콜릿 공장,39846,1231****,10
더 포스트,159848,lty_****,0
님은 먼곳에,64185,pin8****,0
월요일이 사라졌다,118955,fkfk****,8
지구: 놀라운 하루,168418,ysso****,0
리오,76455,lkbh****,9
퍼스트 어벤져,76348,lkbh****,7
월요일이 사라졌다,118955,jjjj****,8
펭귄-위대한 모험 2,159675,ysso****,0
데드풀,75426,chun****,0
120BPM,162876,movi****,0
코코,151728,dhfb****,7
골든슬럼버,158112,ljh6****,0
블랙 팬서,137326,h907****,5
블랙 팬서,137326,dhfl****,3
게스트하우스,162722,sina****,10
레이디 맥베스,154419,mike****,0
"아이, 토냐",154293,skin****,0
월요일이 사라졌다,118955,yhe1****,7
패딩턴 2,146489,whow****,0
코코,151728,hruh****,0
나미야 잡화점의 기적,159862,doon****,4
조선명탐정: 흡혈괴마의 비밀,165748,komr****,1
월요일이 사라졌다,118955,guev****,0
플로리다 프로젝트,164719,styl****,9
허클베리 핀의 모험,12524,blan****,0
1987,158191,vill****,0
조선명탐정: 흡혈괴마의 비밀,165748,iont****,10
50가지 그림자: 해방,154598,hoow****,9
셰이프 오브 워터: 사랑의 모양,158626,ddff****,0
월요일이 사라졌다,118955,zizi****,0
로건 럭키,151751,wint****,6
차이나타운,10135,gefo****,9
골든슬럼버,158112,cine****,5
월요일이 사라졌다,118955,mayb****,0
방가자,163362,bund****,0
너의 췌장을 먹고 싶어,159830,dosl****,0
카페 소사이어티,136870,isee****,0
궁합,141206,seoe****,0
신세기 에반게리온 - 엔드 오브 에반게리온,33929,ohch****,10
트랜스포머: 최후의 기사,123630,aluc****,4
셰이프 오브 워터: 사랑의 모양,158626,bbea****,8
토르: 라그나로크,134898,arth****,0
골든슬럼버,158112,lchy****,10
오리엔트 특급 살인,154272,happ****,0
리틀 포레스트,154449,dlaw****,0
이미테이션 게임,113348,dusw****,0
그것만이 내 세상,158180,imca****,5
조선명탐정: 흡혈괴마의 비밀,165748,hyun****,1
올 더 머니,163842,silv****,0
셰이프 오브 워터: 사랑의 모양,158626,c106****,0
링0 - 버스데이,29202,sakg****,8
아이보이,158563,sky2****,2
염력,153651,prdi****,4
1987,158191,hawk****,0
골든슬럼버,158112,hyun****,1
플로리다 프로젝트,164719,iida****,0
메이즈 러너: 데스 큐어,149248,prdi****,8
노 게임 노 라이프 -제로-,164968,rkdg****,10
퍼스트 스텝,158658,ghlq****,10
블랙 팬서,137326,s2ii****,8
쓰리 빌보드,158610,1727****,9
월요일이 사라졌다,118955,bbea****,3
커뮤터,152249,prdi****,7
환절기,148647,kw66****,0
월요일이 사라졌다,118955,gard****,8
"나, 다니엘 블레이크",150376,allo****,8
나인 송즈,42250,bund****,0
셰이프 오브 워터: 사랑의 모양,158626,tbxl****,0
몬스터 대학교,75415,kw66****,0
1급기밀,149504,prdi****,6
남한산성,150637,lees****,8
라라랜드,134963,gjal****,0
부라더,160749,gjal****,0
4등,132946,allo****,9
염력,153651,kw66****,0
해리 포터와 죽음의 성물 - 2부,47528,simp****,0
쓰리 빌보드,158610,0101****,0
스노우맨,124263,shsy****,0
블랙 팬서,137326,hjny****,8
찰스 디킨스의 비밀 서재,162210,edgu****,6
50가지 그림자: 해방,154598,perk****,6
셰이프 오브 워터: 사랑의 모양,158626,perk****,10
원더,151196,alsw****,0
원더 우먼,125473,juke****,7
박치기!,40032,gttv****,0
셰이프 오브 워터: 사랑의 모양,158626,cine****,7
월요일이 사라졌다,118955,top2****,10
케빈에 대하여,86843,befo****,0
더 랍스터,120793,jang****,7
기억의 밤,160399,nxtd****,0
