Title,Code,Genre,Nation,Director,Actor,Movie Code
여인의 향기,12482,"['드라마', '코미디']",['미국'],['마틴 브레스트'],['알 파치노'],
클레멘타인,37886,"['액션', '드라마']","['한국', '미국']",['김두영'],"['이동준', '김혜리', '스티븐 시걸']",
안녕 베일리,181700,['가족'],['미국'],['게일 맨쿠소'],"['조시 게드', '데니스 퀘이드', '캐서린 프레스콧']",
서유기 2 - 선리기연,18543,"['코미디', '액션', '모험', '판타지', '멜로/로맨스']",['홍콩'],['유진위'],"['주성치', '주인']",
굿 윌 헌팅,19079,['드라마'],['미국'],['구스 반 산트'],['맷 데이먼'],
굿바이 마이 프랜드,17541,['드라마'],['미국'],['피터 호튼'],"['조셉 마젤로', '브래드 렌프로', '다이아나 스카위드']",
주토피아,130850,"['애니메이션', '액션', '모험', '코미디', '가족']",['미국'],"['바이론 하워드', '리치 무어']","['지니퍼 굿윈', '제이슨 베이트먼', '샤키라']",
반지의 제왕: 두 개의 탑,31795,"['판타지', '모험', '액션']","['뉴질랜드', '미국']",['피터 잭슨'],"['일라이저 우드', '이안 맥켈런', '비고 모텐슨']",
다시 태어나도 우리,154573,['다큐멘터리'],['한국'],"['문창용', '전진']","['파드마 앙뚜', '우르갼 릭젠']",
지상의 별처럼,51172,['드라마'],['인도'],"['아미르 칸', '아몰 굽테']","['다쉴 사페리', '아미르 칸']",
트루먼 쇼,19099,"['코미디', '드라마', 'SF']",['미국'],['피터 위어'],['짐 캐리'],
미스 슬로운,142632,"['드라마', '스릴러']",['미국'],['존 매든'],['제시카 차스테인'],
모노노케 히메,19303,"['애니메이션', '모험', '액션']",['일본'],['미야자키 하야오'],"['마츠다 요지', '미와 아키히로', '이시다 유리코']",
세 얼간이,73372,['코미디'],['인도'],['라지쿠마르 히라니'],"['아미르 칸', '마드하반', '셔먼 조쉬']",
에이리언 2,10038,"['SF', '공포', '스릴러', '액션']",['미국'],['제임스 카메론'],"['시고니 위버', '마이클 빈', '폴 레이저']",
"지금, 만나러 갑니다",39636,"['멜로/로맨스', '드라마', '판타지']",['일본'],['도이 노부히로'],"['다케우치 유코', '나카무라 시도', '다케이 아카시']",
나 홀로 집에 2 - 뉴욕을 헤매다,12270,"['모험', '액션', '범죄', '스릴러', '코미디', '가족']",['미국'],['크리스 콜럼버스'],"['맥컬리 컬킨', '조 페시', '다니엘 스턴']",
울지마 톤즈,76667,['다큐멘터리'],['한국'],['구수환'],"['이금희', '이태석']",
더 록,17135,['액션'],['미국'],['마이클 베이'],"['숀 코네리', '니콜라스 케이지', '에드 해리스']",
미세스 다웃파이어,16210,"['코미디', '가족', '드라마']",['미국'],['크리스 콜럼버스'],"['로빈 윌리엄스', '샐리 필드']",
브레이크 더 사일런스: 더 무비,195975,['다큐멘터리'],['한국'],['박준수'],"['RM', '진', '슈가']",
다크 나이트,62586,"['액션', '범죄', '드라마', '미스터리']",['미국'],['크리스토퍼 놀란'],"['크리스찬 베일', '히스 레저', '아론 에크하트']",
